Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
365640	552847680	365640	552847680	0	0	0	0	365640	552847680	365640	552847680	0	0	0	0	voice
365640	552847680	0	0	0.0	3557671.17767416	0.0	5379198820.64333	365640	552847680	0	0	0.0	3557671.17767416	0.0	5379198820.64333	voice
365640	552847680	0	0	0.0	3550900.0272290297	0.0	5368960841.170293	365640	552847680	0	0	0.0	3550900.0272290297	0.0	5368960841.170293	voice
365640	552847680	0	0	0.0	3563673.0489097093	0.0	5388273649.951481	365640	552847680	0	0	0.0	3563673.0489097093	0.0	5388273649.951481	voice
365640	552847680	0	0	0.0	3548287.44027209	0.0	5365010609.6914	365640	552847680	0	0	0.0	3548287.44027209	0.0	5365010609.6914	voice
365640	552847680	0	0	0.0	3578006.893192105	0.0	5409946422.506463	365640	552847680	0	0	0.0	3578006.893192105	0.0	5409946422.506463	voice
365640	552847680	0	0	0.0	3557671.17767416	0.0	5379198820.64333	365640	552847680	0	0	0.0	3557671.17767416	0.0	5379198820.64333	voice
365640	552847680	0	0	0.0	3531870.5873303562	0.0	5340188328.043499	365640	552847680	0	0	0.0	3531870.5873303562	0.0	5340188328.043499	voice
365640	552847680	0	0	0.0	3596196.792511232	0.0	5437449550.276983	365640	552847680	0	0	0.0	3596196.792511232	0.0	5437449550.276983	voice
365640	552847680	0	0	0.0	3547048.217947502	0.0	5363136905.536623	365640	552847680	0	0	0.0	3547048.217947502	0.0	5363136905.536623	voice
365640	552847680	0	0	0.0	3590866.723392299	0.0	5429390485.769156	365640	552847680	0	0	0.0	3590866.723392299	0.0	5429390485.769156	voice
365640	552847680	0	0	0.0	3525869.887575352	0.0	5331115270.013932	365640	552847680	0	0	0.0	3525869.887575352	0.0	5331115270.013932	voice
365640	552847680	0	0	0.0	3559231.701003293	0.0	5381558331.91698	365640	552847680	0	0	0.0	3559231.701003293	0.0	5381558331.91698	voice
365640	552847680	0	0	0.0	3560619.982587013	0.0	5383657413.671563	365640	552847680	0	0	0.0	3560619.982587013	0.0	5383657413.671563	voice
365640	552847680	0	0	0.0	3550554.748086513	0.0	5368438779.106808	365640	552847680	0	0	0.0	3550554.748086513	0.0	5368438779.106808	voice
