Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
107	4494	107	4494	0	0	0	0	107	4494	107	4494	0	0	0	0	arp
109	4578	109	4578	0	0	0	0	109	4578	109	4578	0	0	0	0	arp
107	4494	0	0	0.0	106.07714013019778	0.0	4455.239885468307	107	4494	0	0	0.0	106.07714013019778	0.0	4455.239885468307	arp
109	4578	0	0	0.0	108.04346986614712	0.0	4537.82573437818	109	4578	0	0	0.0	108.04346986614712	0.0	4537.82573437818	arp
107	4494	0	0	0.0	106.37619474270545	0.0	4467.8001791936285	107	4494	0	0	0.0	106.37619474270545	0.0	4467.8001791936285	arp
109	4578	0	0	0.0	108.37522105097472	0.0	4551.759284140938	109	4578	0	0	0.0	108.37522105097472	0.0	4551.759284140938	arp
107	4494	0	0	0.0	106.57105338021165	0.0	4475.984241968889	107	4494	0	0	0.0	106.57105338021165	0.0	4475.984241968889	arp
110	4620	1	42	0.9960438977972497	109.56482875769747	41.83384370748449	4601.722807823294	110	4620	1	42	0.9960438977972497	109.56482875769747	41.83384370748449	4601.722807823294	arp
108	4536	1	42	0.9925725739465034	107.19783798622237	41.68804810575314	4502.30919542134	108	4536	1	42	0.9925725739465034	107.19783798622237	41.68804810575314	4502.30919542134	arp
111	4662	1	42	0.9925725739465034	110.17555570806188	41.68804810575314	4627.373339738599	111	4662	1	42	0.9925725739465034	110.17555570806188	41.68804810575314	4627.373339738599	arp
109	4578	1	42	0.997381883968712	108.71462535258961	41.890039126685906	4566.014264808763	109	4578	1	42	0.997381883968712	108.71462535258961	41.890039126685906	4566.014264808763	arp
112	4704	1	42	0.9975728438207648	111.72815850792566	41.898059440472124	4692.582657332878	112	4704	1	42	0.9975728438207648	111.72815850792566	41.898059440472124	4692.582657332878	arp
110	4620	1	42	0.9946359004810141	109.40994905291156	41.77470782020259	4595.217860222285	110	4620	1	42	0.9946359004810141	109.40994905291156	41.77470782020259	4595.217860222285	arp
113	4746	1	42	0.994517273209471	112.38045187267024	41.76972547479779	4719.97897865215	113	4746	1	42	0.994517273209471	112.38045187267024	41.76972547479779	4719.97897865215	arp
111	4662	1	42	0.996995206735529	110.66646794764372	41.873798682892215	4647.991653801037	111	4662	1	42	0.996995206735529	110.66646794764372	41.873798682892215	4647.991653801037	arp
114	4788	1	42	0.9969532616358642	113.65267182648851	41.87203698870629	4773.412216712518	114	4788	1	42	0.9969532616358642	113.65267182648851	41.87203698870629	4773.412216712518	arp
112	4704	1	42	0.9953853444996368	111.48315858395932	41.806184468984746	4682.292660526291	112	4704	1	42	0.9953853444996368	111.48315858395932	41.806184468984746	4682.292660526291	arp
115	4830	1	42	0.9953298351393836	114.46293104102911	41.80385307585411	4807.4431037232225	115	4830	1	42	0.9953298351393836	114.46293104102911	41.80385307585411	4807.4431037232225	arp
